Energy (eV),S_n_H_Si_ZBL,S_n_H_Si_univ
10.0,2.1625404447988976e-16,2.1577563748262928e-16
15.722304640260715,2.580897879835241e-16,2.5760522040744896e-16
24.719086320116368,3.028703129108964e-16,3.024067125347651e-16
38.86410055537707,3.491889595337689e-16,3.486076779568946e-16
61.10332285013643,3.9500651909609953e-16,3.940850027269647e-16
96.06850563820485,4.375228322026979e-16,4.361782590016321e-16
151.04183119784605,4.731872098957133e-16,4.717336165227906e-16
237.47256835153706,4.980183400782247e-16,4.972207057371605e-16
373.3616063328005,5.083316023657579e-16,5.090365229916488e-16
587.0104915741376,5.017300596455623e-16,5.041495673932468e-16
922.9157775557796,4.779179921389462e-16,4.811047217233389e-16
1451.0363012035061,4.388492620122527e-16,4.4102806213318243e-16
2281.3634771598627,3.884152049916261e-16,3.8792155408658907e-16
3586.8291583071823,3.314058097360714e-16,3.277799149037336e-16
5639.32207194755,2.7282662406769505e-16,2.6690348251415204e-16
8866.313957970562,2.172063841791366e-16,2.1035358805759558e-16
13939.888908340907,1.6771532828259937e-16,1.612192342542645e-16
21916.71800683269,1.2613635099933297e-16,1.20698960494313e-16
34458.13172181107,9.276613075371357e-17,8.861923022243664e-17
54176.124426454575,6.69878487661609e-17,6.345756882678135e-17
85177.35324613894,4.765943226439283e-17,4.5221248088176825e-17
133918.4296186895,3.3514470047472026e-17,3.185347463274395e-17
210550.63474103517,2.3334912169574274e-17,2.2226047356967167e-17
331034.1221598819,1.6117873879599916e-17,1.5387082828916162e-17
520461.9314918939,1.105953106715499e-17,1.0582119847194519e-17
818286.1040574065,7.546298046686957e-18,7.236505158362134e-18
1286534.341088261,5.117470413093465e-18,4.9244489546593055e-18
2022728.484074675,3.4588861205445847e-18,3.336786831412477e-18
3180195.3431154815,2.3520023739906083e-18,2.2524889430985775e-18
4999999.999999999,1.608316393424214e-18,1.5154591850678239e-18
