Energy (eV),S_n_Si_Au_ZBL,S_n_Si_Au_univ
10.0,2.5744780459433944e-15,2.576844478372344e-15
15.722304640260715,3.4310892802127077e-15,3.4336208749032843e-15
24.719086320116368,4.542926276615582e-15,4.547424826268671e-15
38.86410055537707,5.977450025442934e-15,5.982926855175185e-15
61.10332285013643,7.812245674783455e-15,7.815337062786696e-15
96.06850563820485,1.0135674300005215e-14,1.0129217646777283e-14
151.04183119784605,1.30424432953017e-14,1.301539301341065e-14
237.47256835153706,1.6621704682227237e-14,1.656520987423242e-14
373.3616063328005,2.0954843000007406e-14,2.0861471566430626e-14
587.0104915741376,2.6090844104315992e-14,2.5965716653282676e-14
922.9157775557796,3.204397964847886e-14,3.190221669388207e-14
1451.0363012035061,3.878123421368354e-14,3.864008115418016e-14
2281.3634771598627,4.6195613701610967e-14,4.607587703321235e-14
3586.8291583071823,5.412771474565672e-14,5.401963357029568e-14
5639.32207194755,6.230777438893533e-14,6.218644354456052e-14
8866.313957970562,7.036879390477612e-14,7.019412667586899e-14
13939.888908340907,7.781803353960888e-14,7.75659299233887e-14
21916.71800683269,8.399678422977171e-14,8.373884328216477e-14
34458.13172181107,8.820800375172167e-14,8.808581940231164e-14
54176.124426454575,8.983164000546253e-14,8.997298776990822e-14
85177.35324613894,8.843358068008882e-14,8.887858151915914e-14
133918.4296186895,8.400502701668501e-14,8.457364437158601e-14
210550.63474103517,7.694665732437624e-14,7.729492135112019e-14
331034.1221598819,6.791605291475337e-14,6.778305073735968e-14
520461.9314918939,5.778920975212778e-14,5.711192242918358e-14
818286.1040574065,4.7452982686384714e-14,4.638649984467787e-14
1286534.341088261,3.7681747995776506e-14,3.6477814641942777e-14
2022728.484074675,2.904563574483175e-14,2.790523742561474e-14
3180195.3431154815,2.1803903840514647e-14,2.085917075304784e-14
4999999.999999999,1.601231738104249e-14,1.5295422993477754e-14
