collision,e_lab,b_max_factor,order,s_n
H-Si,10,5,50,1.5065378216272856e-16
H-Si,10,5,100,1.5065664003990079e-16
H-Si,10,5,200,1.5064930896834188e-16
H-Si,10,5,300,1.506465818888118e-16
H-Si,10,5,400,1.5065031241765065e-16
H-Si,10,5,500,1.5064853041436214e-16
H-Si,5000000,5,50,1.2757925565442653e-18
H-Si,5000000,5,100,1.5144571375334267e-18
H-Si,5000000,5,200,1.622456139297787e-18
H-Si,5000000,5,300,1.5750760117774167e-18
H-Si,5000000,5,400,1.5646112673930256e-18
H-Si,5000000,5,500,1.566984646528221e-18
Si-Au,10,5,50,3.3958747601420324e-16
Si-Au,10,5,100,3.396126561462615e-16
Si-Au,10,5,200,3.3962592515303093e-16
Si-Au,10,5,300,3.3963045227254525e-16
Si-Au,10,5,400,3.396327315284869e-16
Si-Au,10,5,500,3.3963410774970737e-16
Si-Au,5000000,5,50,1.6002807918582345e-14
Si-Au,5000000,5,100,1.5999841333495102e-14
Si-Au,5000000,5,200,1.5998641305458447e-14
Si-Au,5000000,5,300,1.5999602031149653e-14
Si-Au,5000000,5,400,1.599884079560373e-14
Si-Au,5000000,5,500,1.5999431332283684e-14
H-Si,10,15,50,2.1623063035604298e-16
H-Si,10,15,100,2.1623805952616512e-16
H-Si,10,15,200,2.1626035910722927e-16
H-Si,10,15,300,2.1625624850852637e-16
H-Si,10,15,400,2.1625404447988966e-16
H-Si,10,15,500,2.1625266910344316e-16
H-Si,5000000,15,50,1.075833524903101e-18
H-Si,5000000,15,100,1.3264842468395232e-18
H-Si,5000000,15,200,1.5563156972805726e-18
H-Si,5000000,15,300,1.6252362388015546e-18
H-Si,5000000,15,400,1.6083163934242114e-18
H-Si,5000000,15,500,1.5794454036704989e-18
Si-Au,10,15,50,1.920760094849651e-15
Si-Au,10,15,100,1.920556212146229e-15
Si-Au,10,15,200,1.9205833971755974e-15
Si-Au,10,15,300,1.920592517504269e-15
Si-Au,10,15,400,1.9205974617721923e-15
Si-Au,10,15,500,1.9206525278515674e-15
Si-Au,5000000,15,50,1.5992659606938613e-14
Si-Au,5000000,15,100,1.6013955219662182e-14
Si-Au,5000000,15,200,1.6012314909492097e-14
Si-Au,5000000,15,300,1.6010177176570612e-14
Si-Au,5000000,15,400,1.6011638359968478e-14
Si-Au,5000000,15,500,1.6012037886480103e-14
H-Si,10,20,50,2.1657441791423114e-16
H-Si,10,20,100,2.1655277460135405e-16
H-Si,10,20,200,2.1655596112059481e-16
H-Si,10,20,300,2.1654440734468104e-16
H-Si,10,20,400,2.1654865096169647e-16
H-Si,10,20,500,2.165510541249207e-16
H-Si,5000000,20,50,1.0231634787850042e-18
H-Si,5000000,20,100,1.2744927820480527e-18
H-Si,5000000,20,200,1.5141871678033594e-18
H-Si,5000000,20,300,1.6121358982883128e-18
H-Si,5000000,20,400,1.623042946061511e-18
H-Si,5000000,20,500,1.5975980193437284e-18
